trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
379,False,"{'a': 0.6, 'e': 0.051366549693751415}",25,11,19.16802716531806,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
380,False,"{'a': 0.6, 'e': 0.051298917604257706}",25,13,20.89991039760665,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
381,False,"{'a': 0.6, 'e': 0.051231551957856}",20,13,13.753706411668698,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
382,False,"{'a': 0.6, 'e': 0.05116445100966508}",20,10,6.1935424357422395,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
383,False,"{'a': 0.6, 'e': 0.0510976130307596}",20,12,15.871774235488427,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
384,False,"{'a': 0.6, 'e': 0.051031036307982884}",20,16,8.823808429095317,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
385,False,"{'a': 0.6, 'e': 0.050964719143762556}",20,8,17.730345366449995,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
386,False,"{'a': 0.6, 'e': 0.050898659855928764}",20,10,19.67216617334708,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
387,False,"{'a': 0.6, 'e': 0.05083285677753489}",30,21,16.447961981836396,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
388,False,"{'a': 0.6, 'e': 0.05076730825668096}",20,16,6.634805166246437,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
389,False,"{'a': 0.6, 'e': 0.05070201265633938}",25,9,-13.144014261579944,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
390,False,"{'a': 0.6, 'e': 0.05063696835418333}",20,16,6.733685408747103,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
391,False,"{'a': 0.6, 'e': 0.05057217374241736}",20,12,13.939330295401255,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
392,False,"{'a': 0.6, 'e': 0.050507627227610534}",25,15,20.303694700452144,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
393,False,"{'a': 0.6, 'e': 0.050443327230531826}",25,10,26.054361596922387,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
394,False,"{'a': 0.6, 'e': 0.05037927218598784}",20,10,17.71196943302646,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
395,False,"{'a': 0.6, 'e': 0.05031546054266276}",20,8,20.03172541893472,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
396,False,"{'a': 0.6, 'e': 0.050251890762960605}",20,13,10.639873459997549,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
397,False,"{'a': 0.6, 'e': 0.05018856132284956}",30,7,-3.0860209892917974,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",1
398,False,"{'a': 0.6, 'e': 0.05012547071170855}",30,16,26.387196770352627,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
399,False,"{'a': 0.6, 'e': 0.05006261743217589}",20,13,13.787079035428857,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
400,False,"{'a': 0.6, 'e': 0.05}",25,17,-27.968678770063427,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
401,False,"{'a': 0.6, 'e': 0.04993761694389224}",20,5,26.8482869969268,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,6,26.38946696076446,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,14,18.728588342886024,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,10,17.053611485937008,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,16,7.436560206911298,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,15,10.939656695640275,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,8,20.714361125340258,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,17,15.792352728966812,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,12,12.55847253866433,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,6,25.684591779619478,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",35,18,28.137306207057588,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",35,10,47.238191664434694,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",20,14,10.641161163084426,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",25,15,17.95717099063171,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",30,11,28.57713635296395,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",20,9,22.41282803987316,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",25,11,25.65026297688358,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",20,14,9.699451235895701,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",25,12,21.652639899691092,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",20,5,28.390270912647562,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",30,18,21.207407494636392,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
